src	trg	weight
Lynyrd Skynyrd	Neil Young	2.9235485755723105
Lynyrd Skynyrd	Shinedown	2.9235485755723105
Lynyrd Skynyrd	Status Quo (band)	2.9235485755723105
Manfred Mann	Manfred Mann's Earth Band	1.6143310395277046
Manfred Mann	The Kinks	1.6143310395277046
Manfred Mann	Manfred Mann Chapter Three	1.6143310395277046
Manfred Mann	rock music	1.6143310395277046
Manfred Mann	Manfred Mann (musician)	1.6143310395277046
Manfred Mann	Sting (musician)	1.6143310395277046
Manfred Mann	The Dave Clark Five	1.6143310395277046
Manfred Mann (musician)	Manfred Mann Chapter Three	1.0202239473639088
Manfred Mann (musician)	Manfred Mann's Earth Band	1.0202239473639088
Manfred Mann Chapter Three	Manfred Mann's Earth Band	1.1233637284685554
Manfred Mann Chapter Three	Phil Collins	1.1233637284685554
Manfred Mann's Earth Band	The Police	1.7565597227304983
Manfred Mann's Earth Band	The Rolling Stones	1.7565597227304983
Manfred Mann's Earth Band	The Beatles	1.7565597227304983
Manfred Mann's Earth Band	Thin Lizzy	1.7565597227304983
Manfred Mann's Earth Band	Uriah Heep (band)	1.7565597227304983
Manfred Mann's Earth Band	Yes (band)	1.7565597227304983
Manfred Mann's Earth Band	Rush (band)	1.7565597227304983
Manfred Mann's Earth Band	The Lovin' Spoonful	1.7565597227304983
Manfred Mann's Earth Band	The Who	1.7565597227304983
Marilyn Manson	The Cure	1.331943492417588
Marilyn Manson	Slipknot (band)	1.331943492417588
Marilyn Manson	New York Dolls	1.331943492417588
Marilyn Manson	Ozzy Osbourne	1.331943492417588
Marilyn Manson	Rammstein	1.331943492417588
Marilyn Manson	Nine Inch Nails	1.331943492417588
Marilyn Manson	The Pretty Reckless	1.331943492417588
Marilyn Manson	Mudvayne	1.331943492417588
Marilyn Manson	The Smashing Pumpkins	1.331943492417588
Marilyn Manson	Megadeth	1.331943492417588
Marilyn Manson	Marilyn Manson (band)	1.331943492417588
Marilyn Manson (band)	The Cure	2.0182612526971333
Marilyn Manson (band)	Mötley Crüe	2.0182612526971333
Marilyn Manson (band)	New York Dolls	2.0182612526971333
Marilyn Manson (band)	White Zombie (band)	2.0182612526971333
Marilyn Manson (band)	Nine Inch Nails	2.0182612526971333
Marilyn Manson (band)	The Offspring	2.0182612526971333
Marilyn Manson (band)	Queen (band)	2.0182612526971333
Marilyn Manson (band)	The Smashing Pumpkins	2.0182612526971333
Marilyn Manson (band)	Rob Zombie	2.0182612526971333
