src	trg	nij
Queen (band)	Survivor (band)	68.33007218765064
Queen (band)	The Who	68.33007218765064
Queen (band)	The Police	68.33007218765064
Queen (band)	Tesla (band)	68.33007218765064
Queen (band)	Status Quo (band)	68.33007218765064
Queen (band)	Steve Vai	68.33007218765064
Queen (band)	The Cab	68.33007218765064
Queen (band)	Smash Mouth	68.33007218765064
Queen (band)	Robert Plant	68.33007218765064
Queen (band)	The Smashing Pumpkins	68.33007218765064
Queen (band)	Uriah Heep (band)	68.33007218765064
Queen (band)	Warrant (American band)	68.33007218765064
Queen (band)	Sepultura	68.33007218765064
Queen (band)	Sex Pistols	68.33007218765064
Queen (band)	Third Eye Blind	68.33007218765064
Queens of the Stone Age	Red Hot Chili Peppers	6.336047547117332
Queens of the Stone Age	The Strokes	6.336047547117332
Queens of the Stone Age	Tenacious D	6.336047547117332
Queens of the Stone Age	Royal Blood (band)	6.336047547117332
Queens of the Stone Age	The Smashing Pumpkins	6.336047547117332
Queens of the Stone Age	The Doors	6.336047547117332
Queens of the Stone Age	The Hives	6.336047547117332
Queens of the Stone Age	ZZ Top	6.336047547117332
Queensrÿche	Whitesnake	2.0562908461560796
Queensrÿche	Scorpions (band)	2.0562908461560796
Queensrÿche	Quiet Riot	2.0562908461560796
Queensrÿche	Twisted Sister	2.0562908461560796
Queensrÿche	Ratt	2.0562908461560796
Queensrÿche	Van Halen	2.0562908461560796
Queensrÿche	U2	2.0562908461560796
Queensrÿche	The Police	2.0562908461560796
Quiet Riot	W.A.S.P. (band)	4.72352051439756
Quiet Riot	Whitesnake	4.72352051439756
Quiet Riot	Slade	4.72352051439756
Quiet Riot	Status Quo (band)	4.72352051439756
Quiet Riot	Ratt	4.72352051439756
Quiet Riot	Van Halen	4.72352051439756
Quiet Riot	Warrant (American band)	4.72352051439756
Quiet Riot	ZZ Top	4.72352051439756
Quiet Riot	Weezer	4.72352051439756
Quiet Riot	The Bangles	4.72352051439756
Quiet Riot	Slayer	4.72352051439756
Quiet Riot	The Police	4.72352051439756
R.E.M.	The Monkees	8.460974965927349
R.E.M.	Radiohead	8.460974965927349
R.E.M.	Yes (band)	8.460974965927349
R.E.M.	Sonic Youth	8.460974965927349
R.E.M.	The Byrds	8.460974965927349
R.E.M.	Traveling Wilburys	8.460974965927349
R.E.M.	The Black Crowes	8.460974965927349
R.E.M.	T. Rex (band)	8.460974965927349
R.E.M.	The Cranberries	8.460974965927349
R.E.M.	U2	8.460974965927349
R.E.M.	The Beach Boys	8.460974965927349
REO Speedwagon	Tenacious D	4.9349663988861305
REO Speedwagon	Tesla (band)	4.9349663988861305
REO Speedwagon	Styx (band)	4.9349663988861305
REO Speedwagon	Thin Lizzy	4.9349663988861305
REO Speedwagon	The Smashing Pumpkins	4.9349663988861305
REO Speedwagon	Status Quo (band)	4.9349663988861305
REO Speedwagon	The Doors	4.9349663988861305
REO Speedwagon	Train (band)	4.9349663988861305
REO Speedwagon	Ted Nugent	4.9349663988861305
REO Speedwagon	Survivor (band)	4.9349663988861305
Radiohead	Red Hot Chili Peppers	16.718400595133247
Radiohead	Snow Patrol	16.718400595133247
Radiohead	The Strokes	16.718400595133247
Radiohead	The Smiths	16.718400595133247
Radiohead	The Beatles	16.718400595133247
Radiohead	Sonic Youth	16.718400595133247
Radiohead	Roxy Music	16.718400595133247
Radiohead	Vampire Weekend	16.718400595133247
Radiohead	Weezer	16.718400595133247
Radiohead	Slipknot (band)	16.718400595133247
Radiohead	Talking Heads	16.718400595133247
Radiohead	Steely Dan	16.718400595133247
Radiohead	The Killers	16.718400595133247
Radiohead	Travis (band)	16.718400595133247
Radiohead	U2	16.718400595133247
Radiohead	System of a Down	16.718400595133247
Rage Against the Machine	Red Hot Chili Peppers	8.169809549905352
Rage Against the Machine	Soundgarden	8.169809549905352
Rage Against the Machine	Rise Against	8.169809549905352
Rage Against the Machine	The White Stripes	8.169809549905352
Rage Against the Machine	Sum 41	8.169809549905352
Rage Against the Machine	Run-DMC	8.169809549905352
Rage Against the Machine	Rush (band)	8.169809549905352
Rage Against the Machine	Stone Temple Pilots	8.169809549905352
Rage Against the Machine	Rob Zombie	8.169809549905352
Rage Against the Machine	The Smashing Pumpkins	8.169809549905352
Rage Against the Machine	Tool (band)	8.169809549905352
Rage Against the Machine	Staind	8.169809549905352
Rage Against the Machine	Sex Pistols	8.169809549905352
Rage Against the Machine	U2	8.169809549905352
Rainbow (rock band)	The Outfield	2.052479563412639
Rainbow (rock band)	Whitesnake	2.052479563412639
Rainbow (rock band)	The Smashing Pumpkins	2.052479563412639
Rainbow (rock band)	Uriah Heep (band)	2.052479563412639
