src	trg	nij
Soundgarden	The Offspring	10.420126568326262
Soundgarden	Staind	10.420126568326262
Staind	Whitesnake	7.513247209462817
Staind	Three Days Grace	7.513247209462817
Staind	Stone Temple Pilots	7.513247209462817
Staind	Tool (band)	7.513247209462817
Staind	Van Halen	7.513247209462817
Starset	Thirty Seconds to Mars	1.2821336580143359
Starship (band)	Whitesnake	1.1536631158482467
Starship (band)	Survivor (band)	1.1536631158482467
Status Quo (band)	Traffic (band)	4.3749220138551586
Status Quo (band)	Steve Winwood	4.3749220138551586
Status Quo (band)	Thin Lizzy	4.3749220138551586
Steely Dan	Steve Miller Band	8.730600214358372
